bucket bits,small size,segment start,sieve nanos
8,16,51,67637606921
8,16,54,76890856094
8,16,57,85874610666
8,16,60,95319158955
8,16,63,106379682992
8,17,33,19462695221
8,17,36,23923022825
8,17,39,29746978231
8,17,42,35930416082
8,17,45,42762054240
8,17,48,50939478479
8,17,51,60132191042
8,17,54,69123665727
8,17,57,77625524938
8,17,60,86347951092
8,17,63,95833087370
8,18,33,18718527125
8,18,36,20827109300
8,18,39,26689914690
8,18,42,32701853918
8,18,45,39040499077
8,18,48,45835421672
8,18,51,54153107318
8,18,54,62965713169
8,18,57,71238319065
8,18,60,79759786076
8,18,63,88664260170
8,19,33,22985489286
8,19,36,24521079811
8,19,39,28251837685
8,19,42,34233849010
8,19,45,40316535435
8,19,48,46521874958
8,19,51,53622217114
8,19,54,61972133821
8,19,57,70216257390
8,19,60,78732153863
8,19,63,87344260957
8,20,33,24543457938
8,20,36,26001292621
8,20,39,28261224421
8,20,42,33224735703
8,20,45,39549482861
8,20,48,45534573847
8,20,51,51808684122
8,20,54,59084664259
8,20,57,66865911861
8,20,60,74836438626
8,20,63,83568867944
8,21,33,26003402182
8,21,36,28027879595
8,21,39,29556271853
8,21,42,31823606482
8,21,45,38169320136
8,21,48,43942490943
8,21,51,49562424873
8,21,54,55738830338
8,21,57,62702011340
8,21,60,70403168311
8,21,63,79167991476
8,22,33,28880224645
8,22,36,30434404336
8,22,39,32056457181
8,22,42,33193381502
8,22,45,36169027361
8,22,48,41803569367
8,22,51,49743827205
8,22,54,52910234400
8,22,57,59125007657
8,22,60,66464000348
8,22,63,75534256418
8,23,33,29588035041
8,23,36,31067764693
8,23,39,33029938167
8,23,42,34660545175
8,23,45,36504780604
8,23,48,41561703132
8,23,51,47838268400
8,23,54,54008861811
8,23,57,60269077936
8,23,60,67498757002
8,23,63,76321731838
8,24,33,44386521781
8,24,36,46433538161
8,24,39,49161434846
8,24,42,57263493845
8,24,45,61331003266
8,24,48,66663755081
8,24,51,73798407889
8,24,54,83046589727
8,24,57,95026453086
8,24,60,106638447883
8,24,63,115407415149
